Timestamp_023	Field_023	Sorb_023	Pot1k_023	PotHe3_023	Probe_Cx_023	TDO1_023	TDO2_023
36.55	17.84732	4.1337	0	0.2753	0.7222	10602665.83	5318350.192
37.234	17.8441	4.1337	0	0.2753	0.7222	10602958.55	5318126.253
37.689	17.84191	4.1337	0	0.2753	0.7222	9604119.87	5317601.546
38.145	17.83929	4.1337	0	0.2753	0.7222	10603572.58	5317471.673
38.6	17.83722	4.1337	0	0.2753	0.7221	10604006.96	5317326.194
39.056	17.83498	4.1337	0	0.2753	0.7221	10604654.08	5316982.51
39.595	17.83154	4.1337	0	0.2754	0.7221	10604864.05	5316588.461
40.196	17.82936	4.1337	0	0.2754	0.7221	10605190.75	5316351.999
40.488	17.82718	4.1337	0	0.2754	0.7221	10605545.98	5316119.14
41.109	17.82483	4.1336	0	0.2754	0.7221	10606092.44	5315680.878
41.792	17.82134	4.1336	0	0.2754	0.7221	10606465.75	5315352.323
42.248	17.81921	4.1337	0	0.2754	0.722	10606966.87	5315031.598
42.762	17.81577	4.1337	0	0.2755	0.722	10607242.24	5314735.317
43.386	17.81337	4.1337	0	0.2755	0.722	10607788.32	5314275.506
44.07	17.80987	4.1337	0	0.2755	0.722	10608099.15	5314037.279
44.525	17.80774	4.1337	0	0.2755	0.722	10608404.21	5313690.304
44.983	17.80534	4.1336	0	0.2755	0.722	10608954.18	5313423.27
45.485	17.80218	4.1337	0	0.2755	0.7219	10609344.45	5313173.265
45.959	17.79972	4.1337	0	0.2755	0.7219	10609682.29	5312856.862
46.578	17.79743	4.1337	0	0.2756	0.7219	10609976.19	5312473.362
47.034	17.79459	4.1337	0	0.2756	0.7219	10610357.81	5312118.113
47.489	17.79284	4.1337	0	0.2756	0.7219	10610689.73	5311995.359
47.945	17.7906	4.1337	0	0.2756	0.7219	10611169.14	5311703.762
48.453	17.78733	4.1337	0	0.2756	0.7219	10611591.46	5311439.684
48.924	17.78493	4.1337	0	0.2756	0.7219	10611876.1	5310991.871
49.54	17.78253	4.1337	0	0.2756	0.7218	10612249.18	5310758.587
49.996	17.78012	4.1337	0	0.2757	0.7218	10612566.38	5310515.647
50.453	17.7781	4.1337	0	0.2757	0.7218	10612730.9	5310292.637
50.908	17.77554	4.1337	0	0.2757	0.7218	10613405.77	5309780.616
51.591	17.77232	4.1337	0	0.2757	0.7218	10613763.36	5309472.17
52.047	17.76997	4.1337	0	0.2757	0.7218	10614133.95	5309364.634
52.502	17.76757	4.1337	0	0.2757	0.7218	10614454.27	5309057.854
52.957	17.7655	4.1337	0	0.2757	0.7217	10614730.66	5308800.941
53.413	17.76353	4.1337	0	0.2758	0.7217	10615316.99	5308384.778
53.928	17.75993	4.1337	0	0.2758	0.7217	10615644.92	5308111.65
54.399	17.75758	4.1337	0	0.2758	0.7217	10615980.05	5307871.261
